"","Year","Highschooler","Post_Highschooler"
"1",1990,39.3,93
"2",1991,38.9,100
"3",1992,38.3,100
"4",1993,36.5,93.8
"5",1994,35.4,94.2
"6",1995,32.5,90.4
"7",1996,31,87.9
"8",1997,29.6,84.4
"9",1998,28.8,84.4
"10",1999,27,82.1
"11",2000,26.7,80.5
"12",2001,23.3,79.8
"13",2002,21.9,76.6
"14",2003,21.2,74.9
"15",2004,21.6,74.3
"16",2005,20.6,73.5
"17",2006,22.5,77
"18",2007,21.2,78.8
"19",2008,21.3,75.9
"20",2009,19.4,70.4
"21",2010,17,65.1
"22",2011,15.8,60.8
"23",2012,13.9,58.9
"24",2013,12.6,55.7
"25",2014,11.8,50.4
"26",2015,10.3,47.6
"27",2016,9.4,44.8
"28",2017,8.6,43.5
"29",2018,8.6,41
