"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",47.4,31.2,47.7,50.4,44.6,33.1,26.4,38.4,88.4,44.9,50.1,32.5,26.3,40.1,35.3,20.4,30.4,40.8,49.5,23.3,33.5,23.7,36,19.9,57.5,24,23,42.5,17.1,24.4,46.9,27.5,44.9,15.6,34.3,38.8,30.7,28.4,31.6,47,23.9,45,48,26.3,19.5,32.1,29.6,33,24.2,29.7
"2",47.8,34.7,50.7,49.1,46.2,35.1,26.2,39.9,102.4,43.4,50.4,34.4,29.4,40.5,35.4,22.8,29.3,42.8,51.1,23.7,35,25.1,35.6,20.7,60.3,23.4,23.5,43.8,17,26.2,49.7,28.8,46.3,18.1,36.3,41.6,31.2,29.2,30.1,48,26.2,47.7,50,26.9,21.2,31.5,30.9,32.6,24.8,26.3
"3",46.1,34.3,50.5,46.1,45.3,36.4,25.7,43.3,84.7,41.7,48.1,31,28.4,40,34.8,21.1,30.2,38.9,52.2,21.1,32.6,24.5,33.9,20.5,58.8,25.4,22.8,42.4,14.7,24.1,50.9,28.5,43.8,17.8,34.8,41,30.2,28.6,29.6,45.6,26.6,44.3,50.5,25.9,17.1,30.7,30.7,32.7,23.9,24.8
"4",47.3,33.6,49.1,45.1,45.3,35.3,26.2,38.5,94.4,41.4,48.4,29.1,29.1,40.8,34.2,23.2,30.9,39.5,52.2,20,33.4,23.5,33,20.5,57,26.4,22.6,44.9,14.8,24.8,53,29,43.1,17.5,34.8,40.3,30.1,28.3,33.3,43,24.7,43,50.8,25.3,16.8,30.2,29.4,33.5,23.9,26.9
"5",49.6,33.1,50.1,47.6,44.1,35,28.7,43.4,79.6,41.5,47.9,30.9,26.6,40.3,34.7,22.9,30.3,39.5,50.8,18.2,32.1,23.6,31.9,19.9,57.5,22.2,24.2,46.5,14.6,25,51.3,28.7,43.6,15.3,33.7,40.4,29.8,27.9,32.1,44.7,22.9,42.7,51.2,24.4,16.2,30.8,28.5,32.7,23.2,25.1
"6",45.7,30.3,47.5,46.6,41.7,33.3,26.4,38.5,66.7,39.3,47.6,26.8,26.6,37.6,34.5,22.3,30,38.8,44.9,19.3,31.4,21.5,30.3,19.5,56.9,22.9,22,44.1,14.8,23.9,48.2,26.4,41.9,17.8,32.6,38.6,29.7,26.2,26.1,42.2,21.4,41.4,49.9,24.5,10.6,30.1,28.1,30.5,22.8,24.8
"7",43.7,26.7,46.6,43.6,37.2,30.8,24.1,39.5,67.3,36,44.6,26.9,26.2,35.1,32.8,21.5,27.7,36.8,42.6,16.9,29.3,19.7,28.5,18.7,51.3,21.3,22.2,42,15.3,22.4,45.1,24.4,41.3,16.1,29.6,37.1,29.3,24.4,26.9,39.7,22.4,39.6,47.9,23.6,15,27.3,26.2,29,21.8,25
"8",41.5,25.4,44.4,41.6,34.3,30.4,22.1,35.3,54.6,34.2,43.1,23.9,22.9,33.3,31.8,20.3,27.4,34.7,41,15.5,27.4,18.8,25.7,17.9,49.1,20.1,21.2,42.3,14.1,20.8,43.2,22.2,38,14.2,28.5,36.9,26.6,21.7,27,38.6,21.5,37.7,46.2,22.9,11.9,25.7,24.5,27.6,21.6,23.3
"9",39.5,25.3,44.4,39.8,31.4,29.8,21,32.7,55.2,32.6,39.6,28.1,24.1,31.9,28.9,18.9,25,31.8,39.6,14.9,25.8,18,24.6,16.7,46.5,19.8,20.6,38.3,13.3,19.8,43.5,21.2,37,16.1,26.9,34.8,26.2,21.7,24,38.5,19.8,37.1,44.2,21.7,11.3,23.9,23.4,26.6,20,22.9
"10",36.7,25.5,41.6,36.4,28.9,29.6,18.8,32.6,51.9,30.1,37.3,23.9,24.6,28.6,27.5,18.6,24.5,30.2,37.3,14,24.7,16.1,22.8,16.5,44.2,18.5,20.2,37.2,10.9,17.7,41.7,19.8,35.4,13,25,33,25.2,20.6,21.1,36.9,19.3,34.3,42.8,22,12,22.7,21.7,24.9,20.6,22.1
